Video_ID,Title,Category,Published_Date,Views,Likes,Dislikes,Comments,Shares,Subscribers_Gained,Subscribers_Lost,Watch_Time_Minutes,Average_Percent_Watched,Average_View_Duration,Impressions,Click_Through_Rate,Traffic_Source,Device_Type,Audience_Country,Revenue,Gender,YouTuber_Name
VID0001,Cooking with Flair,Gaming,01-01-2023,168469,39632,3243,8995,843,874,475,14069,21.02,411,592552,4.23,Search,Mobile,UK,185.17,Male,MrBeast
VID0002,Educational Insights: Math,Lifestyle,02-01-2023,391719,12423,3134,489,1782,48,225,8534,58.06,309,878833,5.65,Search,TV,India,626.92,Male,PewDiePie
VID0003,Educational Insights: Math,Technology,03-01-2023,480361,45899,2070,5876,1564,566,52,19284,89.15,101,353368,4.35,Direct,Mobile,USA,173.8,Male,Nastya
VID0004,Inspirational Life Stories,Lifestyle,04-01-2023,102371,46920,359,9685,1184,665,398,7362,46.9,550,911698,9.66,Search,Mobile,USA,63.83,Male,Markiplier
VID0005,Fitness Routines for Beginners,Lifestyle,05-01-2023,39709,45508,2041,3645,746,354,223,1641,53.38,395,239690,6.08,Suggested,Tablet,India,330.36,Male,Dude Perfect
VID0006,Car Review: Latest Model,Entertainment,06-01-2023,193192,7943,1141,7081,1725,711,153,2865,16.34,123,9388,7.52,Direct,TV,Canada,231.14,Male,Lilly Singh (IISuperwomanII)
VID0007,Home Gardening Tips,Technology,07-01-2023,151322,14310,1635,2891,1140,307,47,10406,35.03,402,744526,9.37,Suggested,TV,Canada,888.99,Male,James Charles
VID0008,Top Tech Innovations,Technology,08-01-2023,22172,16556,4000,9897,270,867,350,4591,39.21,368,957163,5.96,External,TV,USA,54.95,Female,Zoella
VID0009,Tech Reviews: Best Smartphones,Technology,09-01-2023,12555,31467,1943,3516,769,884,146,3183,95.06,466,435913,0.22,External,Mobile,Canada,176.61,Male,Logan Paul
VID0010,Gaming Secrets Unveiled,Lifestyle,10-01-2023,481626,10206,4774,3340,1715,629,392,1957,35.44,365,221932,0.44,Search,TV,Canada,548.72,Male,Casey Neistat
VID0011,Yoga for Stress Relief,Gaming,11-01-2023,472833,38057,3361,6410,1510,774,63,869,51.48,521,361585,7.05,Search,TV,Canada,481.07,Male,Emma Chamberlain
VID0012,Top Tech Innovations,Technology,12-01-2023,54276,2572,2980,53,1908,45,348,17906,70.42,69,942478,2.86,Suggested,Desktop,USA,45.85,Female,GadgetUnboxer
VID0013,Car Review: Latest Model,Lifestyle,13-01-2023,58492,49959,6,2575,171,301,181,3072,24.6,388,279977,5.84,Suggested,Tablet,Canada,7.25,Male,SmartTechie
VID0014,Car Review: Latest Model,Entertainment,14-01-2023,185074,6804,3267,615,1973,867,124,18356,53.78,283,502116,2.1,Suggested,TV,UK,988.07,Female,LifeCoachAnna
VID0015,Home Gardening Tips,Gaming,15-01-2023,257010,3813,1591,5944,273,911,178,5699,76.47,427,561143,2.78,External,TV,USA,658.83,Male,ChefAntonio
VID0016,Educational Insights: Math,Entertainment,16-01-2023,352743,5151,4928,7404,258,407,38,18753,88.02,199,230987,5.1,Suggested,Tablet,India,365.41,Female,FitnessPro
VID0017,Fashion Hacks for 2023,Gaming,17-01-2023,466571,10856,3264,954,1158,188,259,5375,66.36,540,654474,9.76,Direct,Tablet,Canada,470.43,Female,GamerKing
VID0018,Home Gardening Tips,Lifestyle,18-01-2023,223320,2575,2606,1629,1706,821,381,6671,70.21,289,467619,6.2,Direct,Mobile,Germany,266.55,Female,TechGuru
VID0019,DIY Home Makeover,Education,19-01-2023,418978,36478,3219,6859,1745,829,2,5172,21.37,488,984262,9.37,External,Mobile,USA,344.87,Female,TechGuru
VID0020,Home Gardening Tips,Gaming,20-01-2023,12046,4355,3273,8841,1771,128,63,9731,95.12,558,687005,9.6,Suggested,Mobile,India,649.04,Male,FitnessPro
VID0021,Educational Insights: Math,Entertainment,21-01-2023,229071,14584,913,3278,421,560,28,11345,21.93,370,774390,2.16,Suggested,Tablet,UK,882.81,Male,GameMaster
VID0022,Yoga for Stress Relief,Lifestyle,22-01-2023,379165,34603,2011,5455,1444,536,371,14806,79.72,86,249934,3.18,Search,Desktop,India,184.13,Male,EduMath
VID0023,Street Food Tasting,Gaming,23-01-2023,422985,8358,1442,3801,1209,265,10,5563,33.83,247,890102,7.72,Direct,TV,Canada,840.36,Female,CalmWithYoga
VID0024,Car Review: Latest Model,Education,24-01-2023,185374,40847,3054,2561,1952,117,96,7550,94.02,493,338319,8.68,External,Tablet,Germany,121.56,Male,AdventureSeeker
VID0025,Healthy Living Tips,Education,25-01-2023,417366,35296,3546,6539,363,463,357,11195,74.8,276,181426,5.24,Suggested,Desktop,Canada,214.99,Female,GamerKing
VID0026,Street Food Tasting,Technology,26-01-2023,462463,45213,4221,370,1978,143,441,1413,77.84,402,592452,9.93,Search,Tablet,India,37.18,Male,GameMaster
